transaction_id,transaction_amount,transaction_type,transaction_location,account_age_days,card_present,previous_fraudulent_transactions,is_fraud,transaction_date
125,2280.12,Bank Transfer,Houston,2062,1,4,0,2023-04-26
126,4271.65,ATM,New York,392,1,1,0,2023-08-07
127,8180.33,POS,Phoenix,3419,0,0,0,2023-07-19
128,8607.45,ATM,Los Angeles,2358,0,1,0,2023-12-06
129,70.51,Bank Transfer,New York,2434,0,1,0,2023-04-03
130,5107.96,ATM,Los Angeles,3281,0,1,0,2023-09-07
131,4174.69,ATM,Los Angeles,1381,1,1,0,2023-07-17
132,2221.86,Online,Chicago,974,0,0,0,2023-11-14
133,1199.53,Bank Transfer,Los Angeles,3640,0,2,0,2023-06-02
134,3376.81,Bank Transfer,Chicago,3166,0,1,0,2023-02-09
135,9429.15,ATM,Houston,3165,0,3,0,2023-02-27
136,3232.71,Online,Chicago,340,1,4,0,2023-12-25
137,5188.39,Bank Transfer,Phoenix,2645,0,4,0,2023-10-25
138,7030.49,POS,New York,3517,1,3,0,2023-10-21
139,3636.93,ATM,Houston,757,0,1,0,2023-05-13
140,9717.85,Bank Transfer,Houston,1046,1,0,0,2023-06-29
141,9624.51,POS,Phoenix,2339,1,2,0,2023-01-21
142,2518.57,Bank Transfer,Chicago,3557,0,4,0,2023-08-09
143,4972.99,POS,New York,2354,1,2,0,2023-02-08
144,3009.48,ATM,Chicago,2682,0,0,0,2023-11-28
145,2849.12,Bank Transfer,Los Angeles,3200,1,4,0,2023-02-28
146,369.83,Bank Transfer,Chicago,2673,1,2,0,2023-10-19
147,6096.03,Online,Houston,939,1,0,1,2023-04-06
148,5027.29,ATM,New York,3345,0,2,0,2023-06-30
149,515.74,POS,Chicago,848,1,1,1,2023-11-15
150,2787.19,Bank Transfer,New York,442,0,0,0,2023-04-20
151,9082.75,Bank Transfer,New York,2551,1,2,0,2023-10-01
152,2396.38,POS,Los Angeles,130,1,1,0,2023-09-29
153,1449.8,ATM,Los Angeles,3204,1,1,1,2023-11-25
154,4895.04,Online,Houston,597,1,0,0,2023-07-13
155,9856.52,Online,Phoenix,1959,1,3,0,2023-11-16
156,2421.31,Bank Transfer,New York,1506,1,4,0,2023-05-27
157,6721.68,POS,Phoenix,862,0,0,0,2023-08-09
158,7616.43,Bank Transfer,Houston,3462,0,1,0,2023-10-02
159,2377.14,POS,New York,2641,0,1,0,2023-10-30
160,7282.44,Online,New York,999,1,0,0,2023-09-30
161,3678.46,ATM,Phoenix,2373,0,3,0,2023-12-18
162,6323.43,POS,Chicago,3141,1,4,0,2023-01-26
163,6335.66,Online,Los Angeles,2496,0,2,0,2023-12-15
164,5358.21,Bank Transfer,Chicago,1552,0,0,0,2023-06-20
165,903.81,POS,Phoenix,2867,1,4,0,2023-04-10
166,8353.19,ATM,Los Angeles,1641,1,4,0,2023-03-27
167,3208.48,Bank Transfer,Chicago,3237,0,1,0,2023-08-23
168,1866.0,Bank Transfer,Los Angeles,1512,0,2,1,2023-09-20
169,408.71,Online,New York,1737,0,0,0,2023-11-14
170,5909.34,POS,Chicago,2757,0,1,0,2023-04-18
171,6775.97,Bank Transfer,Los Angeles,1450,1,1,0,2023-04-06
172,166.86,ATM,Los Angeles,1858,0,3,0,2023-01-25
173,5121.42,POS,Los Angeles,265,1,4,0,2023-10-02
174,2265.73,ATM,Chicago,2660,1,0,0,2023-03-29
175,6452.08,Bank Transfer,Houston,3414,0,0,0,2023-06-10
176,1744.49,ATM,Chicago,2880,1,0,0,2023-01-09
177,6909.69,Online,Phoenix,3350,0,1,0,2023-12-18
178,3867.97,ATM,Chicago,2722,1,3,0,2023-09-17
179,9367.36,POS,Los Angeles,1463,1,2,0,2023-03-28
180,1376.07,ATM,New York,157,0,1,0,2023-02-16
181,3411.32,ATM,Chicago,1446,1,2,0,2023-12-27
182,1135.62,Online,Chicago,2299,1,3,0,2023-08-25
183,9247.01,ATM,Los Angeles,2926,0,4,0,2023-12-24
184,8773.52,ATM,New York,1633,1,0,1,2024-01-01
185,2580.16,Bank Transfer,New York,2578,1,2,1,2023-10-23
186,6600.18,Bank Transfer,Phoenix,2375,0,1,0,2023-06-11
187,8172.4,POS,Chicago,3009,0,2,0,2023-12-01
188,5552.45,Bank Transfer,New York,895,1,4,0,2023-11-14
189,5296.98,Bank Transfer,New York,2145,1,0,0,2023-02-14
190,2419.28,Bank Transfer,Houston,513,1,2,0,2023-12-20
191,931.93,Bank Transfer,Houston,216,0,4,0,2023-04-28
192,8972.26,Online,New York,3204,1,1,1,2023-12-09
193,9004.28,Bank Transfer,Phoenix,3332,1,3,0,2023-06-04
194,6331.38,Online,New York,2173,1,1,0,2023-04-03
195,3390.96,Online,Los Angeles,3154,1,0,0,2023-05-08
196,3492.75,Bank Transfer,Chicago,3355,1,1,0,2023-05-03
197,7259.83,ATM,Phoenix,1707,1,1,0,2023-03-02
198,8971.21,Online,Los Angeles,2107,0,1,0,2023-01-17
199,8870.98,ATM,Phoenix,1568,0,1,0,2023-04-30
200,7798.98,ATM,Los Angeles,2209,1,0,0,2023-09-05
201,6420.67,Bank Transfer,Chicago,2332,1,4,0,2023-05-25
202,842.32,POS,Chicago,2154,0,2,0,2024-01-01
203,1617.13,Bank Transfer,Houston,1129,0,3,0,2023-12-23
204,8985.64,POS,Los Angeles,3511,0,2,0,2023-01-10
205,6064.68,POS,Houston,228,1,2,1,2023-03-28
206,92.96,Bank Transfer,Los Angeles,2366,1,3,0,2023-08-03
207,1015.61,Bank Transfer,Houston,1488,1,0,0,2023-06-15
208,6635.35,POS,Chicago,802,1,3,0,2023-12-01
209,51.61,Bank Transfer,Phoenix,1623,0,0,0,2023-10-01
210,1608.92,POS,Houston,1906,0,2,0,2023-07-16
211,5487.79,ATM,Los Angeles,2922,0,0,0,2023-07-24
212,6919.26,Bank Transfer,Los Angeles,472,0,4,0,2023-03-13
213,6519.96,ATM,Chicago,1080,1,3,0,2023-08-15
214,2243.47,Online,Los Angeles,2673,1,4,0,2023-01-14
215,7122.08,ATM,New York,2061,0,2,0,2023-03-07
216,2373.25,ATM,Phoenix,3512,0,3,0,2023-10-20
217,3254.67,POS,Houston,1042,0,2,0,2023-04-30
218,7465.17,ATM,Phoenix,2742,0,4,0,2023-01-29
219,6496.68,Bank Transfer,Chicago,3021,0,2,0,2023-03-18
220,8492.38,POS,Houston,2161,1,3,0,2023-06-24
221,6576.47,Online,Houston,229,1,3,0,2023-06-29
222,5683.52,Bank Transfer,New York,171,0,2,0,2023-08-18
223,937.65,Online,Chicago,295,0,3,0,2023-03-26
224,3677.79,ATM,Los Angeles,189,0,3,0,2023-04-24
225,2652.76,Bank Transfer,New York,426,1,2,0,2023-10-12
226,2440.65,Bank Transfer,New York,977,1,4,0,2023-12-02
227,9730.13,Online,Phoenix,1103,1,3,0,2023-12-07
228,3931.58,Bank Transfer,Phoenix,2706,0,3,0,2023-07-26
229,8920.57,Bank Transfer,Phoenix,919,1,3,0,2023-03-16
230,6311.76,Bank Transfer,New York,3254,0,3,0,2023-02-14
231,7948.32,ATM,Los Angeles,499,1,2,0,2023-10-25
232,5026.87,Online,Houston,1822,1,4,0,2023-04-22
233,5769.46,Bank Transfer,Phoenix,2810,1,4,0,2023-10-01
234,4925.68,POS,Los Angeles,866,0,0,0,2023-08-22
235,1953.23,POS,Chicago,826,0,3,0,2023-12-31
236,7224.8,POS,Phoenix,1859,1,3,0,2023-07-09
237,2808.44,POS,Houston,2119,0,0,0,2023-07-04
238,244.14,ATM,Chicago,2296,0,4,0,2023-04-30
239,6455.08,Bank Transfer,Chicago,146,0,1,0,2023-04-18
240,1771.93,Online,Houston,1642,0,1,0,2023-07-17
241,9404.65,Bank Transfer,Phoenix,1320,0,4,0,2023-02-21
242,9539.33,ATM,New York,2630,0,3,0,2023-07-28
243,9148.73,POS,Houston,470,0,1,0,2023-10-08
244,3702.22,ATM,Houston,3578,1,2,0,2023-02-23
245,155.55,Bank Transfer,Houston,193,0,2,0,2023-02-08
246,9283.26,Online,Chicago,1092,0,0,0,2023-05-23
247,4282.41,ATM,Los Angeles,2542,1,4,0,2023-08-12
248,9666.58,Online,New York,52,1,4,0,2023-03-15
249,9636.24,ATM,Phoenix,2930,1,1,0,2023-08-26
250,8530.24,Online,Phoenix,2411,1,3,0,2023-08-05
251,2945.19,Online,Los Angeles,1821,0,4,0,2023-08-22
252,3851.59,POS,Houston,2965,1,1,0,2023-12-01
253,8511.52,Online,New York,2522,1,1,0,2023-01-15
254,3169.9,POS,Phoenix,1870,0,4,0,2023-01-06
255,1695.76,Bank Transfer,Phoenix,2569,0,1,0,2023-10-12
256,5568.46,Bank Transfer,Houston,1787,0,0,0,2023-07-31
257,9361.61,POS,Los Angeles,1455,1,0,0,2023-03-24
258,6960.6,POS,New York,1868,0,4,0,2023-02-27
259,5701.04,ATM,Los Angeles,3370,1,3,0,2023-03-29
260,972.67,ATM,Los Angeles,3507,0,0,0,2023-12-19
261,6150.46,ATM,New York,2739,0,0,0,2023-12-25
262,9900.55,Bank Transfer,New York,3270,1,4,0,2023-06-10
263,1401.7,ATM,Phoenix,3200,0,2,0,2023-10-13
264,5183.78,Online,Phoenix,2580,0,1,0,2023-01-02
265,8773.85,Online,New York,2008,0,0,0,2023-09-08
266,7407.95,ATM,Chicago,1435,0,2,0,2023-07-19
267,6970.46,Online,Phoenix,840,0,3,0,2023-12-12
268,7025.14,Bank Transfer,Chicago,3137,1,2,0,2023-01-28
269,3595.55,Online,New York,241,1,4,0,2023-01-22
270,2936.62,Bank Transfer,Phoenix,3441,0,3,0,2023-09-13
271,8093.8,POS,Los Angeles,536,1,3,0,2023-03-19
272,8101.32,POS,New York,1408,1,2,0,2023-06-01
273,8670.86,POS,Houston,3503,1,4,0,2023-02-14
274,9132.49,POS,Chicago,83,0,0,0,2023-01-22
275,5113.91,Online,New York,982,0,2,0,2023-03-05
276,5015.66,ATM,New York,951,0,0,0,2023-06-24
277,7983.15,Online,Phoenix,611,1,2,0,2023-07-27
278,6499.99,Bank Transfer,Phoenix,574,1,0,0,2023-01-05
279,7019.97,Online,Phoenix,2334,0,2,0,2023-07-25
280,7958.13,Online,Houston,989,0,3,0,2023-10-21
281,8900.16,Bank Transfer,Phoenix,3606,1,1,0,2023-03-24
282,3380.61,POS,New York,459,1,3,0,2023-09-23
283,3756.45,POS,Phoenix,3284,0,0,0,2023-02-28
284,940.73,POS,Los Angeles,2174,1,4,0,2023-07-14
285,5783.22,ATM,Phoenix,3485,1,3,0,2023-02-14
286,360.39,Bank Transfer,Houston,1523,1,1,0,2023-12-11
287,4656.51,Bank Transfer,Los Angeles,2473,1,0,0,2023-03-14
288,5426.9,Online,New York,2602,1,3,0,2023-10-20
289,2866.13,ATM,New York,2658,1,2,0,2023-07-24
290,5908.74,POS,Chicago,1985,1,4,0,2023-05-16
291,305.97,ATM,Los Angeles,1567,0,0,0,2023-09-11
292,374.44,Bank Transfer,Chicago,3230,0,3,0,2023-09-07
293,8226.18,Bank Transfer,Los Angeles,2160,1,0,0,2023-04-26
294,3602.55,Online,Los Angeles,2450,1,2,0,2023-08-27
295,1271.48,Online,Houston,122,1,1,0,2023-12-13
296,5222.91,Bank Transfer,Chicago,273,0,3,0,2023-05-07
297,7700.17,POS,Houston,1318,0,0,0,2023-07-25
298,2158.99,POS,Los Angeles,398,1,0,0,2023-01-16
299,6229.28,ATM,New York,2519,0,0,0,2023-03-08
300,854.39,Bank Transfer,Los Angeles,985,1,1,0,2023-04-06
301,517.77,Bank Transfer,Houston,1231,1,0,1,2023-01-22
302,5314.01,POS,Chicago,1134,1,4,0,2023-09-28
303,5406.81,POS,Chicago,3512,1,4,0,2023-07-17
304,6374.66,Bank Transfer,Houston,1302,1,0,1,2023-10-09
305,7261.19,Online,Chicago,3640,1,4,1,2023-12-16
306,9758.54,Bank Transfer,Phoenix,1911,1,3,0,2023-05-18
307,5163.49,Bank Transfer,New York,2617,0,4,0,2023-08-04
308,3230.24,POS,New York,1506,1,0,0,2023-06-30
309,7952.07,POS,New York,3186,0,2,1,2023-08-13
310,2709.05,Online,Chicago,1917,1,3,0,2023-07-31
311,4390.28,Online,Chicago,2945,1,1,0,2023-01-03
312,785.49,ATM,Los Angeles,820,0,0,0,2023-12-21
313,254.48,Bank Transfer,Los Angeles,2901,0,1,0,2023-07-15
314,9626.52,POS,New York,3549,1,2,0,2023-01-12
315,8359.97,Online,Phoenix,2758,0,1,0,2023-01-10
316,6960.05,ATM,Los Angeles,1957,1,0,0,2023-03-16
317,4090.12,ATM,Los Angeles,2369,1,0,0,2023-11-23
318,1733.77,POS,Chicago,179,0,2,0,2023-11-05
319,1565.21,POS,Phoenix,897,0,0,0,2023-04-01
320,2503.18,ATM,New York,2267,0,2,0,2023-03-31
321,5492.72,Online,Los Angeles,2837,0,2,0,2023-09-05
322,7146.24,ATM,Phoenix,1973,1,0,0,2023-02-18
323,6602.31,Bank Transfer,Phoenix,1552,0,4,0,2023-10-03
324,2800.06,Bank Transfer,New York,492,0,2,0,2023-08-05
325,9548.7,POS,Phoenix,61,0,0,0,2023-03-12
326,7379.23,Online,Phoenix,1078,0,4,0,2023-12-05
327,5543.99,Online,Phoenix,1704,0,2,0,2023-07-03
328,6117.6,Bank Transfer,Los Angeles,2586,1,4,0,2023-06-19
329,4196.58,ATM,New York,2896,1,3,0,2023-05-05
330,2478.06,POS,Phoenix,3036,0,3,0,2023-09-15
331,3560.37,ATM,Phoenix,65,0,4,0,2023-04-12
332,7578.7,ATM,Los Angeles,586,1,2,0,2023-03-13
333,144.92,ATM,New York,1728,0,0,0,2023-06-25
334,1161.61,Online,Chicago,2219,1,1,0,2023-08-09
335,460.98,Bank Transfer,Los Angeles,3345,1,0,0,2023-12-09
336,408.25,Online,New York,535,0,1,0,2023-04-18
337,8554.75,Bank Transfer,Phoenix,3463,1,1,0,2023-10-15
338,7036.87,POS,New York,2741,0,2,0,2023-05-24
339,4742.26,POS,New York,3399,0,4,0,2023-02-03
340,979.24,ATM,New York,2156,1,0,0,2023-06-17
341,4916.67,Bank Transfer,Chicago,1871,1,4,0,2023-12-24
342,4735.24,Bank Transfer,New York,3234,0,3,0,2023-07-12
343,1732.85,Bank Transfer,Chicago,2862,1,2,0,2023-06-09
344,4339.08,ATM,Phoenix,1005,0,2,0,2023-07-06
345,3985.65,ATM,Chicago,2500,1,3,0,2023-03-22
346,6158.89,POS,Phoenix,1230,1,0,0,2023-02-25
347,6351.3,Online,Phoenix,2638,0,3,0,2023-08-12
348,453.99,Bank Transfer,Chicago,1040,0,0,0,2024-01-01
349,3746.75,Bank Transfer,Los Angeles,327,0,1,0,2023-07-07
350,6258.97,Online,Houston,608,1,2,0,2023-12-22
351,5031.86,Bank Transfer,New York,2707,0,0,0,2023-01-25
352,8565.04,ATM,Houston,2,0,4,0,2023-10-12
353,6587.28,ATM,New York,1034,1,4,0,2023-03-11
354,1630.18,Bank Transfer,New York,2482,1,2,0,2023-01-31
355,706.62,ATM,Phoenix,125,0,3,0,2023-11-18
356,6424.55,ATM,New York,1105,0,3,0,2023-07-08
357,266.09,Bank Transfer,New York,2533,0,0,0,2023-03-20
358,5858.17,POS,Chicago,2700,0,3,0,2023-10-06
359,9402.36,Online,Houston,1862,1,2,0,2023-05-26
360,5755.17,ATM,Chicago,1174,1,0,0,2023-08-03
361,3882.31,POS,New York,2848,0,1,0,2023-04-19
362,6433.24,ATM,Phoenix,2921,0,3,0,2023-03-08
363,4583.07,ATM,Chicago,3412,0,3,0,2023-06-04
364,5456.62,Online,Chicago,129,1,0,0,2023-09-26
365,9414.71,ATM,Los Angeles,438,0,4,0,2023-08-22
366,3861.64,Online,New York,751,0,3,0,2023-12-31
367,9611.94,Online,Phoenix,2549,1,2,0,2023-03-14
368,9053.6,Online,Chicago,3130,1,3,0,2023-07-30
369,1958.72,POS,Chicago,1222,0,1,0,2023-02-26
370,694.54,Bank Transfer,Phoenix,2259,0,3,0,2023-08-11
371,1008.68,POS,New York,902,1,4,0,2023-09-07
372,183.2,Bank Transfer,Los Angeles,2093,0,3,0,2023-02-13
373,945.34,Bank Transfer,Chicago,3169,0,0,0,2023-08-27
374,6830.38,Online,Los Angeles,1303,1,3,0,2023-01-11
375,712.82,ATM,Houston,2583,1,4,0,2023-08-03
376,3190.44,Online,New York,1434,1,0,0,2023-12-22
377,8448.91,ATM,Houston,2509,0,2,0,2023-04-25
378,233.7,Bank Transfer,Houston,391,1,0,0,2023-05-07
379,8144.87,Online,Houston,1068,1,1,0,2023-06-20
380,2819.27,ATM,New York,27,0,0,0,2023-10-13
381,1182.53,POS,New York,2842,0,2,0,2023-02-28
382,6967.67,ATM,Phoenix,3169,1,3,0,2023-04-14
383,6289.8,Online,Los Angeles,3023,1,0,0,2023-11-02
384,8774.84,POS,Los Angeles,548,0,0,0,2023-04-27
385,7350.98,ATM,Phoenix,2669,0,0,1,2023-04-05
386,8035.01,ATM,Phoenix,567,1,0,0,2023-01-25
387,2821.06,ATM,Houston,704,1,2,0,2023-02-07
388,1775.22,ATM,Phoenix,1243,0,4,0,2023-03-14
389,7506.4,ATM,Chicago,185,1,4,0,2023-11-28
390,8068.54,POS,Los Angeles,3141,0,0,0,2023-12-06
391,9905.06,Bank Transfer,Phoenix,3202,1,2,0,2023-04-26
392,4126.76,POS,Chicago,1591,0,2,0,2023-08-14
393,3720.81,POS,Chicago,1914,0,0,0,2023-11-22
394,7764.35,POS,Chicago,848,1,1,0,2023-05-02
395,3408.69,Bank Transfer,Chicago,599,1,0,0,2023-04-20
396,9307.64,Online,Houston,806,0,1,0,2023-07-30
397,8584.27,Bank Transfer,Chicago,1358,1,0,0,2023-10-06
398,4290.51,POS,Houston,3226,1,1,0,2023-03-10
399,7508.96,ATM,Houston,3619,1,1,0,2023-03-30
400,7545.67,ATM,Chicago,2127,0,0,0,2023-10-16
401,1032.14,POS,Los Angeles,2627,1,1,0,2023-03-05
402,9025.63,ATM,Chicago,1879,1,3,0,2023-09-08
403,5053.02,POS,Chicago,2461,0,4,0,2023-05-16
404,8264.75,ATM,Chicago,546,1,2,0,2023-07-12
405,3201.18,Bank Transfer,Los Angeles,1633,1,1,0,2023-08-07
406,8955.34,Online,New York,2217,0,1,0,2023-09-18
407,3892.63,Online,New York,2729,0,2,0,2023-01-07
408,109.37,Bank Transfer,Houston,2631,1,1,0,2023-10-10
409,9053.91,Bank Transfer,Houston,2563,1,2,0,2023-08-26
410,913.78,POS,Los Angeles,3386,0,0,0,2023-03-25
411,3193.82,POS,Phoenix,2080,0,3,0,2023-12-21
412,9500.67,POS,New York,2335,1,3,0,2023-09-18
413,9506.12,ATM,Houston,2642,1,4,0,2023-02-17
414,5734.81,POS,New York,3115,1,1,0,2023-03-27
415,6318.74,Bank Transfer,Los Angeles,1927,0,4,0,2023-04-05
416,4485.01,Online,Los Angeles,617,1,0,0,2023-08-10
417,2932.81,ATM,Phoenix,3073,0,3,0,2023-07-04
418,3287.32,POS,Phoenix,3645,0,0,0,2023-06-26
419,6725.51,ATM,Los Angeles,2318,0,0,0,2023-08-24
420,7523.99,ATM,Houston,1204,1,1,0,2023-12-14
421,7916.0,POS,New York,1760,1,0,0,2023-04-19
422,7896.39,ATM,Chicago,2566,1,3,0,2023-11-25
423,912.97,Online,Phoenix,3175,0,4,0,2023-04-08
424,4944.71,Bank Transfer,Chicago,3082,1,3,1,2023-02-19
425,576.53,Bank Transfer,Houston,2631,0,1,0,2023-01-25
426,5495.74,Online,Phoenix,3162,0,3,0,2023-03-15
427,4415.86,ATM,Chicago,226,0,2,0,2023-08-11
428,8877.15,POS,Houston,670,0,4,0,2023-03-02
429,3509.8,ATM,New York,1764,0,2,0,2023-11-18
430,1171.55,Online,Houston,917,0,2,0,2023-06-01
431,1430.77,ATM,Phoenix,2174,1,1,0,2023-09-19
